"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request on the best buy API","Products CRUD Test","ERROR","2023-01-11T04:39:45.837+10:00[Australia/Brisbane]","0.0","1.58"
"Testing a different request on product","As a user I want to create product","SUCCESS","2023-01-11T04:39:47.753+10:00[Australia/Brisbane]","0.0","0.29"
"Testing a different request on product","As a user I want to get created product with productId","SUCCESS","2023-01-11T04:39:48.121+10:00[Australia/Brisbane]","0.0","0.06"
"Testing a different request on product","As a user I want to update the product with productId","SUCCESS","2023-01-11T04:39:48.219+10:00[Australia/Brisbane]","0.0","0.08"
"Testing a different request on product","As a user I want to delete the product","SUCCESS","2023-01-11T04:39:48.382+10:00[Australia/Brisbane]","0.0","0.08"
"Store Application","CRUD Test","SUCCESS","2023-01-11T04:39:48.534+10:00[Australia/Brisbane]","0.0","0.22"
"Testing a different request on store","As a user I want to create store","PENDING","2023-01-11T04:39:48.850+10:00[Australia/Brisbane]","0.0","0.0"
"Testing a different request on store","As a user I want to get created product with productId","PENDING","2023-01-11T04:39:48.944+10:00[Australia/Brisbane]","0.0","0.0"
"Testing a different request on store","As a user I want to update the product with productId","PENDING","2023-01-11T04:39:49.106+10:00[Australia/Brisbane]","0.0","0.0"
"Testing a different request on store","As a user I want to delete the product","PENDING","2023-01-11T04:39:49.253+10:00[Australia/Brisbane]","0.0","0.0"
